City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ardestan,33.3761,52.3694,12.47,37,26,1.1,IR,1701450053
83,francistown,-21.17,27.5079,25.94,26,1,4.61,BW,1701450053
84,bodaybo,57.8506,114.1933,-18.17,99,100,0.52,RU,1701450053
85,princeville,45.7668,-61.2985,9.17,84,100,4.63,CA,1701450053
86,nar'yan-mar,67.6713,53.087,-9.38,98,100,1.79,RU,1701450053
87,richards bay,-28.783,32.0377,20.65,66,0,4.54,ZA,1701450053
88,ndele,8.4109,20.6473,30.2,31,34,1.71,CF,1701450030
89,tiksi,71.6872,128.8694,-31.74,100,44,3.25,RU,1701450054
90,atafu village,-8.5421,-172.5159,28.33,78,100,5.83,TK,1701450054
91,margaret river,-33.95,115.0667,17.63,88,76,5.52,AU,1701450054
92,shache,38.4167,77.2406,4.84,31,46,1.44,CN,1701450054
93,sake,-1.5736,29.045,17.54,97,76,0.44,CD,1701450054
94,hadibu,12.65,54.0333,26.46,68,86,9.41,YE,1701450054
95,salekhard,66.53,66.6019,-23.43,100,93,0.35,RU,1701450054
96,fernandina beach,30.6697,-81.4626,26.68,74,0,4.63,US,1701449841
97,palora,-1.7,-77.9333,22.06,74,98,1.07,EC,1701450055
98,kapuskasing,49.4169,-82.4331,-9.95,67,20,4.63,CA,1701450055
99,jamestown,42.097,-79.2353,5.01,92,100,3.6,US,1701450043
100,barguzin,53.6167,109.6167,-11.74,91,75,2.97,RU,1701450055
101,college,64.8569,-147.8028,-16.82,86,20,0.0,US,1701450055
102,palasa,18.7667,84.4167,21.88,78,95,2.03,IN,1701450056
103,tsiombe,-25.3,45.4833,21.84,53,100,3.88,MG,1701450056
104,whitehorse,60.7161,-135.0538,-10.57,85,20,5.14,CA,1701450041
105,brezina,33.0989,1.2608,16.9,16,100,6.1,DZ,1701450056
106,ta`u,-14.2336,-169.5144,27.75,83,87,7.72,AS,1701450056
107,taunggyi,20.7833,97.0333,14.36,94,98,0.38,MM,1701450056
108,las heras,-46.5419,-68.9359,14.48,13,66,10.2,AR,1701450056
109,verkhnevilyuysk,63.4453,120.3167,-32.95,98,82,2.11,RU,1701450057
110,ambalangoda,6.2355,80.0538,24.72,90,100,4.16,LK,1701450057
111,trinidad,-14.8333,-64.9,30.99,66,75,6.69,BO,1701450057
112,nemuro,43.3236,145.575,0.48,72,22,7.71,JP,1701450057
113,dickinson,29.4608,-95.0513,23.05,96,100,0.45,US,1701450058
114,bethel,41.3712,-73.414,9.75,64,100,2.06,US,1701450058
115,santa cruz,-17.8,-63.1667,34.03,49,75,11.32,BO,1701450044
116,halifax,44.6453,-63.5724,10.27,84,75,5.66,CA,1701449516
117,flying fish cove,-10.4217,105.6791,24.82,83,40,3.6,CX,1701450058
118,crane,31.3974,-102.3501,15.34,32,38,5.4,US,1701450058
119,charters towers,-20.1,146.2667,25.36,74,99,2.04,AU,1701450058
120,natal,-5.795,-35.2094,31.12,55,20,5.66,BR,1701449820
121,badger,64.8,-147.5333,-16.86,86,20,0.0,US,1701450058
122,suva,-18.1416,178.4415,23.71,94,75,1.54,FJ,1701450059
123,el calafate,-50.3408,-72.2768,7.95,44,15,5.83,AR,1701450059
124,utrik,11.2278,169.8474,27.51,75,98,8.04,MH,1701450059
125,tupancireta,-29.0806,-53.8358,31.62,60,13,4.52,BR,1701450030
126,tidjikja,18.5564,-11.4271,31.39,12,75,2.33,MR,1701450059
127,plettenberg bay,-34.0527,23.3716,18.95,80,100,3.04,ZA,1701450059
128,katsuren-haebaru,26.3369,127.8719,19.01,72,100,2.57,JP,1701450059
129,grand baie,-20.0182,57.5802,26.36,81,28,3.51,MU,1701450059
130,remire-montjoly,4.9167,-52.2667,31.02,66,75,4.63,GF,1701450059
131,south hedland,-20.4089,118.5983,24.96,78,75,5.66,AU,1701450060
132,humaita,-7.5061,-63.0208,33.53,48,69,1.34,BR,1701450060
133,sinabang,2.4803,96.3801,25.7,89,100,1.32,ID,1701450060
134,korla,41.7597,86.1469,4.44,50,84,1.28,CN,1701450060
135,vanimo,-2.6741,141.3028,27.19,77,48,2.02,PG,1701450060
136,tura,25.5198,90.2201,17.37,68,65,2.43,IN,1701450060
137,holualoa,19.6228,-155.9522,23.82,87,100,0.45,US,1701450060
138,zheleznodorozhnyy,55.7503,38.0042,-3.69,95,100,2.68,RU,1701450060
139,dolbeau-mistassini,48.8763,-72.212,-2.64,70,12,2.77,CA,1701449857
140,tres arroyos,-38.3739,-60.2798,32.51,26,89,3.95,AR,1701450061
141,lompoc,34.6391,-120.4579,14.91,64,0,5.14,US,1701450061
142,saipan,15.1355,145.701,27.39,78,75,7.2,MP,1701450062
143,kerikeri,-35.2268,173.9474,14.95,89,100,3.4,NZ,1701450062
144,taoudenni,22.6783,-3.9836,27.28,9,59,1.96,ML,1701450063
145,galliano,29.4422,-90.2992,23.0,83,100,3.09,US,1701450063
146,keetmanshoop,-26.5833,18.1333,34.46,11,10,9.14,,1701450063
147,ust-tsilma,65.441,52.1498,-7.99,98,100,0.45,RU,1701450064
148,ad dabbah,18.05,30.95,28.98,23,0,6.79,SD,1701450064
149,san patricio,28.017,-97.5169,21.03,82,100,2.91,US,1701450064
